Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
FuselageGeom,4316.316775,3939.477860,11290.609135,10984.905348
Tail,341.803063,301.908492,108.382740,102.050021
Tail,341.803063,301.908492,108.382740,102.050021
Mk 54 Torpedo,24.603857,0.000000,5.564026,0.000000
Jet Flowpath,1118.583688,713.028286,-1645.263653,-1117.962851
Jet Flowpath,1118.583688,711.870814,-1645.263653,-1116.148040
Intake,687.083870,146.898435,1004.867327,229.018061
Intake,687.083870,147.030173,1004.867327,229.223444
WingGeom,1723.170753,1368.675892,906.981112,767.934428
WingGeom,1723.170753,1368.675892,906.981112,767.934428
Totals,12082.203382,8999.474336,12046.108214,10949.004859

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
FuselageGeom_S_Surf0,4316.316775,3939.477860
Tail_S_Surf0,285.061985,245.167413
Tail_S_Surf1,285.061985,245.167413
Mk 54 Torpedo_S_Surf0,24.603857,0.000000
Jet Flowpath_S_Surf0,1118.583688,713.028286
Jet Flowpath_S_Surf1,1118.583688,711.870814
Intake_S_Surf0,687.083870,146.898435
Intake_S_Surf1,687.083870,147.030173
WingGeom_S_Surf0,1295.698236,941.203376
WingGeom_S_Surf1,1295.698236,941.203376
Tail_S_Surf0,SS_RECT_0,23.201818,23.201818
Tail_S_Surf0,SS_RECT_1,33.539261,33.539261
Tail_S_Surf1,SS_RECT_0,23.201818,23.201818
Tail_S_Surf1,SS_RECT_1,33.539261,33.539261
WingGeom_S_Surf0,SS_RECT_0,86.857500,86.857500
WingGeom_S_Surf0,SS_RECT_1,71.077488,71.077488
WingGeom_S_Surf0,SS_RECT_2,27.596864,27.596864
WingGeom_S_Surf0,SS_RECT_3,36.934149,36.934149
WingGeom_S_Surf0,SS_RECT_4,205.006515,205.006515
WingGeom_S_Surf1,SS_RECT_0,86.857500,86.857500
WingGeom_S_Surf1,SS_RECT_1,71.077488,71.077488
WingGeom_S_Surf1,SS_RECT_2,27.596864,27.596864
WingGeom_S_Surf1,SS_RECT_3,36.934149,36.934149
WingGeom_S_Surf1,SS_RECT_4,205.006515,205.006515

SS_Name, SS_Theo_Area, SS_Wet_Area
Tail,SS_RECT_0,46.403635,46.403635
Tail,SS_RECT_1,67.078522,67.078522
WingGeom,SS_RECT_0,173.715000,173.715000
WingGeom,SS_RECT_1,142.154976,142.154976
WingGeom,SS_RECT_2,55.193729,55.193729
WingGeom,SS_RECT_3,73.868299,73.868299
WingGeom,SS_RECT_4,410.013029,410.013029
