...Mass Properties...
14 Num Comps
13 Total Num Meshes
40512 Total Num Tris

7.881915284987734e+04             Total Mass
3.599556759590418e+01 -5.540130923158147e-04 -4.804688696740172e-01       Center of Gravity
3.205977023551632e+07 2.272825535662856e+07 5.463132014579119e+07       Ixx, Iyy, Izz
-1.773387639035461e+03 -3.743597654113245e+05 6.441178485006103e+02       Ixy, Ixz, Iyz
1.360383056997547e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Fuel 1	2.155267988000612e+04	2.830938105077286e+01	1.487434738679307e-05	-1.024910866156307e-01	3.302033764947904e+05	1.174866184435890e+05	3.378501673988212e+05	-3.369702813681468e+02	-1.748835314554189e+01	2.242737905943127e+02	4.310535976004793e+02
Fuel 1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Fuel 1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
PodGeom	4.102094955359599e+03	4.583669380541465e+01	6.413043478260501e+00	-7.608695652173716e-01	3.475143950237899e+03	1.569542119651418e+05	1.580557801621853e+05	-4.712926391657898e+01	-2.098723215710379e+00	3.132995885438297e+01	8.204189910719002e+01
PodGeom	4.102094955359550e+03	4.583669380541510e+01	-6.413043478260812e+00	-7.608695652173798e-01	3.491487077620772e+03	1.569544069089129e+05	1.580719283457970e+05	-4.484215396591863e+01	-1.790465531852917e+00	3.569424406994190e+01	8.204189910719086e+01
PodGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
PodGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
PodGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
PodGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Fuel Tanks	1.913072194880007e+04	4.837506065034206e+01	2.621718519429198e+01	-7.688953753468922e-01	2.537499102227311e+06	1.811950417282818e+05	2.707035676465275e+06	4.400518378230399e+05	1.715181543694781e+04	8.704345073356677e+04	3.826144389762656e+02
Fuel Tanks	1.913156111032616e+04	4.837526515046483e+01	-2.621833444559377e+01	-7.688525557025495e-01	2.537905298619547e+06	1.812139515948951e+05	2.707459573302651e+06	-4.407467009063434e+05	1.715652557445183e+04	-8.668196095693085e+04	3.826312222067742e+02
Fuel Tanks	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Fuel Tanks	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Fuel 1_pm	1.080000000000000e+04	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
